report;sys_time;sim_state;net_op_name;net_type;rssi
41;20241030220650;READY;Simulated Carrier;LTE;-90.2
42;20241030220700;READY;Simulated Carrier;LTE;-91.4
43;20241030220710;READY;Simulated Carrier;LTE;-92.2
44;20241030220720;READY;Simulated Carrier;LTE;-96.9
45;20241030220730;READY;Simulated Carrier;LTE;-93.8
46;20241030220740;READY;Simulated Carrier;LTE;-92.8
47;20241030220750;READY;Simulated Carrier;LTE;-86.7
48;20241030220800;READY;Simulated Carrier;LTE;-89.4
49;20241030220810;READY;Simulated Carrier;LTE;-97.7
50;20241030220820;READY;Simulated Carrier;LTE;-89.3
51;20241030220830;READY;Simulated Carrier;LTE;-92.1
52;20241030220840;READY;Simulated Carrier;LTE;-93.4
53;20241030220850;READY;Simulated Carrier;LTE;-88.2
54;20241030220900;READY;Simulated Carrier;LTE;-86.4
55;20241030220910;READY;Simulated Carrier;LTE;-86.6
56;20241030220920;READY;Simulated Carrier;LTE;-93.8
57;20241030220930;READY;Simulated Carrier;LTE;-91.7
58;20241030220940;READY;Simulated Carrier;LTE;-89.3
59;20241030220950;READY;Simulated Carrier;LTE;-86.7
60;20241030221000;READY;Simulated Carrier;LTE;-92.5
61;20241030221010;READY;Simulated Carrier;LTE;-91.3
62;20241030221020;READY;Simulated Carrier;LTE;-95.0
63;20241030221030;READY;Simulated Carrier;LTE;-95.3
64;20241030221040;READY;Simulated Carrier;LTE;-87.3
65;20241030221050;READY;Simulated Carrier;LTE;-85.2
66;20241030221100;READY;Simulated Carrier;LTE;-90.9
67;20241030221110;READY;Simulated Carrier;LTE;-86.9
68;20241030221120;READY;Simulated Carrier;LTE;-89.5
69;20241030221130;READY;Simulated Carrier;LTE;-93.7
70;20241030221140;READY;Simulated Carrier;LTE;-89.5
71;20241030221150;READY;Simulated Carrier;LTE;-84.8
72;20241030221200;READY;Simulated Carrier;LTE;-91.0
73;20241030221210;READY;Simulated Carrier;LTE;-84.4
74;20241030221220;READY;Simulated Carrier;LTE;-101.3
75;20241030221230;READY;Simulated Carrier;LTE;-87.3
76;20241030221240;READY;Simulated Carrier;LTE;-90.2
77;20241030221250;READY;Simulated Carrier;LTE;-91.8
78;20241030221300;READY;Simulated Carrier;LTE;-90.1
79;20241030221310;READY;Simulated Carrier;LTE;-98.5
80;20241030221320;READY;Simulated Carrier;LTE;-91.5
81;20241030221330;READY;Simulated Carrier;LTE;-89.3
82;20241030221340;READY;Simulated Carrier;LTE;-84.8
83;20241030221350;READY;Simulated Carrier;LTE;-92.9
84;20241030221400;READY;Simulated Carrier;LTE;-94.0
85;20241030221410;READY;Simulated Carrier;LTE;-92.8
86;20241030221420;READY;Simulated Carrier;LTE;-87.1
87;20241030221430;READY;Simulated Carrier;LTE;-89.5
88;20241030221440;READY;Simulated Carrier;LTE;-93.1
89;20241030221450;READY;Simulated Carrier;LTE;-88.9
90;20241030221500;READY;Simulated Carrier;LTE;-90.7
91;20241030221510;READY;Simulated Carrier;LTE;-87.3
92;20241030221520;READY;Simulated Carrier;LTE;-94.1
93;20241030221530;READY;Simulated Carrier;LTE;-92.4
94;20241030221540;READY;Simulated Carrier;LTE;-92.6
95;20241030221550;READY;Simulated Carrier;LTE;-96.8
96;20241030221600;READY;Simulated Carrier;LTE;-89.7
97;20241030221610;READY;Simulated Carrier;LTE;-89.9
98;20241030221620;READY;Simulated Carrier;LTE;-90.9
99;20241030221630;READY;Simulated Carrier;LTE;-91.8
100;20241030221640;READY;Simulated Carrier;LTE;-96.5
101;20241030221650;READY;Simulated Carrier;LTE;-92.4
102;20241030221700;READY;Simulated Carrier;LTE;-92.0
103;20241030221710;READY;Simulated Carrier;LTE;-93.8
104;20241030221720;READY;Simulated Carrier;LTE;-91.4
105;20241030221730;READY;Simulated Carrier;LTE;-89.2
106;20241030221740;READY;Simulated Carrier;LTE;-83.3
107;20241030221750;READY;Simulated Carrier;LTE;-90.2
108;20241030221800;READY;Simulated Carrier;LTE;-89.9
109;20241030221810;READY;Simulated Carrier;LTE;-91.0
110;20241030221820;READY;Simulated Carrier;LTE;-98.3
111;20241030221830;READY;Simulated Carrier;LTE;-90.6
112;20241030221840;READY;Simulated Carrier;LTE;-90.3
113;20241030221850;READY;Simulated Carrier;LTE;-80.7
114;20241030221900;READY;Simulated Carrier;LTE;-91.4
115;20241030221910;READY;Simulated Carrier;LTE;-89.4
116;20241030221920;READY;Simulated Carrier;LTE;-90.7
117;20241030221930;READY;Simulated Carrier;LTE;-95.4
118;20241030221940;READY;Simulated Carrier;LTE;-86.1
119;20241030221950;READY;Simulated Carrier;LTE;-87.7
120;20241030222000;READY;Simulated Carrier;LTE;-87.7
121;20241030222010;READY;Simulated Carrier;LTE;-94.6
122;20241030222020;READY;Simulated Carrier;LTE;-85.4
123;20241030222030;READY;Simulated Carrier;LTE;-96.4
124;20241030222040;READY;Simulated Carrier;LTE;-88.4
125;20241030222050;READY;Simulated Carrier;LTE;-82.2
126;20241030222100;READY;Simulated Carrier;LTE;-94.8
127;20241030222110;READY;Simulated Carrier;LTE;-93.3
128;20241030222120;READY;Simulated Carrier;LTE;-90.5
129;20241030222130;READY;Simulated Carrier;LTE;-93.0
130;20241030222140;READY;Simulated Carrier;LTE;-97.2
131;20241030222150;READY;Simulated Carrier;LTE;-90.6
132;20241030222200;READY;Simulated Carrier;LTE;-95.2
133;20241030222210;READY;Simulated Carrier;LTE;-89.2
134;20241030222220;READY;Simulated Carrier;LTE;-94.8
135;20241030222230;READY;Simulated Carrier;LTE;-84.9
136;20241030222240;READY;Simulated Carrier;LTE;-94.3
137;20241030222250;READY;Simulated Carrier;LTE;-92.8
138;20241030222300;READY;Simulated Carrier;LTE;-88.3
139;20241030222310;READY;Simulated Carrier;LTE;-96.4
140;20241030222320;READY;Simulated Carrier;LTE;-90.5
141;20241030222330;READY;Simulated Carrier;LTE;-86.2
142;20241030222340;READY;Simulated Carrier;LTE;-97.9
143;20241030222350;READY;Simulated Carrier;LTE;-90.6
144;20241030222400;READY;Simulated Carrier;LTE;-90.5
145;20241030222410;READY;Simulated Carrier;LTE;-88.4
146;20241030222420;READY;Simulated Carrier;LTE;-96.5
147;20241030222430;READY;Simulated Carrier;LTE;-96.8
148;20241030222440;READY;Simulated Carrier;LTE;-89.5
149;20241030222450;READY;Simulated Carrier;LTE;-90.4
150;20241030222500;READY;Simulated Carrier;LTE;-90.8
151;20241030222510;READY;Simulated Carrier;LTE;-90.5
152;20241030222520;READY;Simulated Carrier;LTE;-94.5
153;20241030222530;READY;Simulated Carrier;LTE;-91.0
154;20241030222540;READY;Simulated Carrier;LTE;-90.7
155;20241030222550;READY;Simulated Carrier;LTE;-94.7
156;20241030222600;READY;Simulated Carrier;LTE;-84.4
157;20241030222610;READY;Simulated Carrier;LTE;-90.0
158;20241030222620;READY;Simulated Carrier;LTE;-96.7
159;20241030222630;READY;Simulated Carrier;LTE;-89.4
160;20241030222640;READY;Simulated Carrier;LTE;-95.8
161;20241030222650;READY;Simulated Carrier;LTE;-88.8
162;20241030222700;READY;Simulated Carrier;LTE;-87.3
163;20241030222710;READY;Simulated Carrier;LTE;-95.2
164;20241030222720;READY;Simulated Carrier;LTE;-88.0
165;20241030222730;READY;Simulated Carrier;LTE;-90.4
166;20241030222740;READY;Simulated Carrier;LTE;-88.7
167;20241030222750;READY;Simulated Carrier;LTE;-84.4
168;20241030222800;READY;Simulated Carrier;LTE;-92.9
169;20241030222810;READY;Simulated Carrier;LTE;-94.9
170;20241030222820;READY;Simulated Carrier;LTE;-95.5
171;20241030222830;READY;Simulated Carrier;LTE;-95.3
172;20241030222840;READY;Simulated Carrier;LTE;-92.4
173;20241030222850;READY;Simulated Carrier;LTE;-90.8
174;20241030222900;READY;Simulated Carrier;LTE;-90.9
175;20241030222910;READY;Simulated Carrier;LTE;-88.8
176;20241030222920;READY;Simulated Carrier;LTE;-92.1
177;20241030222930;READY;Simulated Carrier;LTE;-86.3
178;20241030222940;READY;Simulated Carrier;LTE;-93.3
179;20241030222950;READY;Simulated Carrier;LTE;-81.4
180;20241030223000;READY;Simulated Carrier;LTE;-89.7
181;20241030223010;READY;Simulated Carrier;LTE;-95.7
182;20241030223020;READY;Simulated Carrier;LTE;-96.6
183;20241030223030;READY;Simulated Carrier;LTE;-90.4
184;20241030223040;READY;Simulated Carrier;LTE;-93.4
185;20241030223050;READY;Simulated Carrier;LTE;-89.6
186;20241030223100;READY;Simulated Carrier;LTE;-90.4
187;20241030223110;READY;Simulated Carrier;LTE;-92.6
188;20241030223120;READY;Simulated Carrier;LTE;-95.6
189;20241030223130;READY;Simulated Carrier;LTE;-98.2
190;20241030223140;READY;Simulated Carrier;LTE;-94.1
191;20241030223150;READY;Simulated Carrier;LTE;-88.7
192;20241030223200;READY;Simulated Carrier;LTE;-91.3
193;20241030223210;READY;Simulated Carrier;LTE;-96.9
194;20241030223220;READY;Simulated Carrier;LTE;-91.3
195;20241030223230;READY;Simulated Carrier;LTE;-90.3
196;20241030223240;READY;Simulated Carrier;LTE;-95.3
197;20241030223250;READY;Simulated Carrier;LTE;-91.1
198;20241030223300;READY;Simulated Carrier;LTE;-91.5
199;20241030223310;READY;Simulated Carrier;LTE;-96.3
200;20241030223320;READY;Simulated Carrier;LTE;-90.2
201;20241030223330;READY;Simulated Carrier;LTE;-89.3
202;20241030223340;READY;Simulated Carrier;LTE;-87.4
203;20241030223350;READY;Simulated Carrier;LTE;-87.7
204;20241030223400;READY;Simulated Carrier;LTE;-97.4
205;20241030223410;READY;Simulated Carrier;LTE;-95.6
206;20241030223420;READY;Simulated Carrier;LTE;-89.8
207;20241030223430;READY;Simulated Carrier;LTE;-89.7
208;20241030223440;READY;Simulated Carrier;LTE;-89.9
209;20241030223450;READY;Simulated Carrier;LTE;-76.5
210;20241030223500;READY;Simulated Carrier;LTE;-89.8
211;20241030223510;READY;Simulated Carrier;LTE;-87.5
212;20241030223520;READY;Simulated Carrier;LTE;-88.2
213;20241030223530;READY;Simulated Carrier;LTE;-89.4
214;20241030223540;READY;Simulated Carrier;LTE;-93.4
215;20241030223550;READY;Simulated Carrier;LTE;-88.9
216;20241030223600;READY;Simulated Carrier;LTE;-95.0
217;20241030223610;READY;Simulated Carrier;LTE;-92.8
218;20241030223620;READY;Simulated Carrier;LTE;-93.8
219;20241030223630;READY;Simulated Carrier;LTE;-91.4
220;20241030223640;READY;Simulated Carrier;LTE;-82.6
221;20241030223650;READY;Simulated Carrier;LTE;-99.2
222;20241030223700;READY;Simulated Carrier;LTE;-88.8
223;20241030223710;READY;Simulated Carrier;LTE;-97.9
224;20241030223720;READY;Simulated Carrier;LTE;-93.4
225;20241030223730;READY;Simulated Carrier;LTE;-87.2
226;20241030223740;READY;Simulated Carrier;LTE;-91.4
227;20241030223750;READY;Simulated Carrier;LTE;-95.9
228;20241030223800;READY;Simulated Carrier;LTE;-94.4
229;20241030223810;READY;Simulated Carrier;LTE;-89.0
230;20241030223820;READY;Simulated Carrier;LTE;-94.8
231;20241030223830;READY;Simulated Carrier;LTE;-91.0
232;20241030223840;READY;Simulated Carrier;LTE;-91.7
233;20241030223850;READY;Simulated Carrier;LTE;-94.6
234;20241030223900;READY;Simulated Carrier;LTE;-83.4
235;20241030223910;READY;Simulated Carrier;LTE;-89.4
236;20241030223920;READY;Simulated Carrier;LTE;-100.1
237;20241030223930;READY;Simulated Carrier;LTE;-91.3
238;20241030223940;READY;Simulated Carrier;LTE;-94.6
239;20241030223950;READY;Simulated Carrier;LTE;-88.4
240;20241030224000;READY;Simulated Carrier;LTE;-95.0
241;20241030224010;READY;Simulated Carrier;LTE;-92.4
242;20241030224020;READY;Simulated Carrier;LTE;-89.8
243;20241030224030;READY;Simulated Carrier;LTE;-88.4
244;20241030224040;READY;Simulated Carrier;LTE;-96.7
245;20241030224050;READY;Simulated Carrier;LTE;-93.2
246;20241030224100;READY;Simulated Carrier;LTE;-93.9
247;20241030224110;READY;Simulated Carrier;LTE;-94.5
248;20241030224120;READY;Simulated Carrier;LTE;-84.8
249;20241030224130;READY;Simulated Carrier;LTE;-90.3
250;20241030224140;READY;Simulated Carrier;LTE;-97.0
251;20241030224150;READY;Simulated Carrier;LTE;-88.3
252;20241030224200;READY;Simulated Carrier;LTE;-83.6
253;20241030224210;READY;Simulated Carrier;LTE;-87.8
254;20241030224220;READY;Simulated Carrier;LTE;-98.0
255;20241030224230;READY;Simulated Carrier;LTE;-93.8
256;20241030224240;READY;Simulated Carrier;LTE;-86.7
257;20241030224250;READY;Simulated Carrier;LTE;-94.7
258;20241030224300;READY;Simulated Carrier;LTE;-90.1
259;20241030224310;READY;Simulated Carrier;LTE;-88.8
260;20241030224320;READY;Simulated Carrier;LTE;-95.5
261;20241030224330;READY;Simulated Carrier;LTE;-92.3
262;20241030224340;READY;Simulated Carrier;LTE;-105.0
263;20241030224350;READY;Simulated Carrier;LTE;-96.2
264;20241030224400;READY;Simulated Carrier;LTE;-93.1
265;20241030224410;READY;Simulated Carrier;LTE;-97.0
266;20241030224420;READY;Simulated Carrier;LTE;-85.5
267;20241030224430;READY;Simulated Carrier;LTE;-97.9
268;20241030224440;READY;Simulated Carrier;LTE;-93.9
269;20241030224450;READY;Simulated Carrier;LTE;-91.7
270;20241030224500;READY;Simulated Carrier;LTE;-86.4
271;20241030224510;READY;Simulated Carrier;LTE;-97.9
272;20241030224520;READY;Simulated Carrier;LTE;-87.8
273;20241030224530;READY;Simulated Carrier;LTE;-92.5
274;20241030224540;READY;Simulated Carrier;LTE;-96.6
275;20241030224550;READY;Simulated Carrier;LTE;-90.9
276;20241030224600;READY;Simulated Carrier;LTE;-92.1
277;20241030224610;READY;Simulated Carrier;LTE;-95.3
278;20241030224620;READY;Simulated Carrier;LTE;-92.5
279;20241030224630;READY;Simulated Carrier;LTE;-94.3
280;20241030224640;READY;Simulated Carrier;LTE;-92.3
281;20241030224650;READY;Simulated Carrier;LTE;-90.1
282;20241030224700;READY;Simulated Carrier;LTE;-86.5
283;20241030224710;READY;Simulated Carrier;LTE;-97.8
284;20241030224720;READY;Simulated Carrier;LTE;-84.5
285;20241030224730;READY;Simulated Carrier;LTE;-101.0
286;20241030224740;READY;Simulated Carrier;LTE;-93.8
287;20241030224750;READY;Simulated Carrier;LTE;-90.8
288;20241030224800;READY;Simulated Carrier;LTE;-92.1
289;20241030224810;READY;Simulated Carrier;LTE;-95.7
290;20241030224820;READY;Simulated Carrier;LTE;-94.2
291;20241030224830;READY;Simulated Carrier;LTE;-95.2
292;20241030224840;READY;Simulated Carrier;LTE;-95.8
293;20241030224850;READY;Simulated Carrier;LTE;-89.9
294;20241030224900;READY;Simulated Carrier;LTE;-92.0
295;20241030224910;READY;Simulated Carrier;LTE;-96.3
296;20241030224920;READY;Simulated Carrier;LTE;-90.0
297;20241030224930;READY;Simulated Carrier;LTE;-92.5
298;20241030224940;READY;Simulated Carrier;LTE;-90.3
299;20241030224950;READY;Simulated Carrier;LTE;-91.0
300;20241030225000;READY;Simulated Carrier;LTE;-96.8
301;20241030225010;READY;Simulated Carrier;LTE;-95.6
302;20241030225020;READY;Simulated Carrier;LTE;-90.5
303;20241030225030;READY;Simulated Carrier;LTE;-91.1
304;20241030225040;READY;Simulated Carrier;LTE;-93.7
305;20241030225050;READY;Simulated Carrier;LTE;-93.0
306;20241030225100;READY;Simulated Carrier;LTE;-88.5
307;20241030225110;READY;Simulated Carrier;LTE;-95.9
308;20241030225120;READY;Simulated Carrier;LTE;-91.2
309;20241030225130;READY;Simulated Carrier;LTE;-94.0
310;20241030225140;READY;Simulated Carrier;LTE;-94.2
311;20241030225150;READY;Simulated Carrier;LTE;-88.8
312;20241030225200;READY;Simulated Carrier;LTE;-89.7
313;20241030225210;READY;Simulated Carrier;LTE;-89.8
314;20241030225220;READY;Simulated Carrier;LTE;-88.0
315;20241030225230;READY;Simulated Carrier;LTE;-93.3
316;20241030225240;READY;Simulated Carrier;LTE;-90.6
317;20241030225250;READY;Simulated Carrier;LTE;-94.7
318;20241030225300;READY;Simulated Carrier;LTE;-92.2
319;20241030225310;READY;Simulated Carrier;LTE;-94.0
320;20241030225320;READY;Simulated Carrier;LTE;-93.1
321;20241030225330;READY;Simulated Carrier;LTE;-91.1
322;20241030225340;READY;Simulated Carrier;LTE;-96.7
323;20241030225350;READY;Simulated Carrier;LTE;-84.9
324;20241030225400;READY;Simulated Carrier;LTE;-97.4
325;20241030225410;READY;Simulated Carrier;LTE;-98.3
326;20241030225420;READY;Simulated Carrier;LTE;-88.9
327;20241030225430;READY;Simulated Carrier;LTE;-90.3
328;20241030225440;READY;Simulated Carrier;LTE;-90.9
329;20241030225450;READY;Simulated Carrier;LTE;-90.8
330;20241030225500;READY;Simulated Carrier;LTE;-93.2
331;20241030225510;READY;Simulated Carrier;LTE;-96.9
332;20241030225520;READY;Simulated Carrier;LTE;-92.8
333;20241030225530;READY;Simulated Carrier;LTE;-95.7
334;20241030225540;READY;Simulated Carrier;LTE;-89.0
335;20241030225550;READY;Simulated Carrier;LTE;-93.3
336;20241030225600;READY;Simulated Carrier;LTE;-96.2
337;20241030225610;READY;Simulated Carrier;LTE;-94.2
338;20241030225620;READY;Simulated Carrier;LTE;-91.4
339;20241030225630;READY;Simulated Carrier;LTE;-95.2
340;20241030225640;READY;Simulated Carrier;LTE;-96.3
341;20241030225650;READY;Simulated Carrier;LTE;-92.0
342;20241030225700;READY;Simulated Carrier;LTE;-91.9
343;20241030225710;READY;Simulated Carrier;LTE;-94.8
344;20241030225720;READY;Simulated Carrier;LTE;-94.6
345;20241030225730;READY;Simulated Carrier;LTE;-91.9
346;20241030225740;READY;Simulated Carrier;LTE;-98.7
347;20241030225750;READY;Simulated Carrier;LTE;-98.4
348;20241030225800;READY;Simulated Carrier;LTE;-95.6
349;20241030225810;READY;Simulated Carrier;LTE;-93.6
350;20241030225820;READY;Simulated Carrier;LTE;-91.5
351;20241030225830;READY;Simulated Carrier;LTE;-87.1
352;20241030225840;READY;Simulated Carrier;LTE;-89.7
353;20241030225850;READY;Simulated Carrier;LTE;-93.5
354;20241030225900;READY;Simulated Carrier;LTE;-93.1
355;20241030225910;READY;Simulated Carrier;LTE;-97.0
356;20241030225920;READY;Simulated Carrier;LTE;-93.0
357;20241030225930;READY;Simulated Carrier;LTE;-94.2
358;20241030225940;READY;Simulated Carrier;LTE;-91.7
359;20241030225950;READY;Simulated Carrier;LTE;-96.2
360;20241030230000;READY;Simulated Carrier;LTE;-90.8
361;20241030230010;READY;Simulated Carrier;LTE;-86.5
362;20241030230020;READY;Simulated Carrier;LTE;-93.2
363;20241030230030;READY;Simulated Carrier;LTE;-91.1
364;20241030230040;READY;Simulated Carrier;LTE;-89.9
365;20241030230050;READY;Simulated Carrier;LTE;-94.2
366;20241030230100;READY;Simulated Carrier;LTE;-91.7
367;20241030230110;READY;Simulated Carrier;LTE;-92.6
368;20241030230120;READY;Simulated Carrier;LTE;-92.2
369;20241030230130;READY;Simulated Carrier;LTE;-95.9
370;20241030230140;READY;Simulated Carrier;LTE;-92.7
371;20241030230150;READY;Simulated Carrier;LTE;-90.7
372;20241030230200;READY;Simulated Carrier;LTE;-86.9
373;20241030230210;READY;Simulated Carrier;LTE;-88.7
374;20241030230220;READY;Simulated Carrier;LTE;-83.9
375;20241030230230;READY;Simulated Carrier;LTE;-95.6
376;20241030230240;READY;Simulated Carrier;LTE;-89.1
377;20241030230250;READY;Simulated Carrier;LTE;-91.9
378;20241030230300;READY;Simulated Carrier;LTE;-83.8
379;20241030230310;READY;Simulated Carrier;LTE;-95.6
380;20241030230320;READY;Simulated Carrier;LTE;-95.8
381;20241030230330;READY;Simulated Carrier;LTE;-94.8
382;20241030230340;READY;Simulated Carrier;LTE;-101.0
383;20241030230350;READY;Simulated Carrier;LTE;-94.5
384;20241030230400;READY;Simulated Carrier;LTE;-95.4
385;20241030230410;READY;Simulated Carrier;LTE;-91.5
386;20241030230420;READY;Simulated Carrier;LTE;-90.9
387;20241030230430;READY;Simulated Carrier;LTE;-84.8
388;20241030230440;READY;Simulated Carrier;LTE;-88.4
389;20241030230450;READY;Simulated Carrier;LTE;-94.5
390;20241030230500;READY;Simulated Carrier;LTE;-95.8
391;20241030230510;READY;Simulated Carrier;LTE;-90.3
392;20241030230520;READY;Simulated Carrier;LTE;-97.5
393;20241030230530;READY;Simulated Carrier;LTE;-84.8
394;20241030230540;READY;Simulated Carrier;LTE;-87.5
395;20241030230550;READY;Simulated Carrier;LTE;-94.0
396;20241030230600;READY;Simulated Carrier;LTE;-98.8
397;20241030230610;READY;Simulated Carrier;LTE;-86.5
398;20241030230620;READY;Simulated Carrier;LTE;-92.4
399;20241030230630;READY;Simulated Carrier;LTE;-86.9
400;20241030230640;READY;Simulated Carrier;LTE;-98.3
401;20241030230650;READY;Simulated Carrier;LTE;-94.4
402;20241030230700;READY;Simulated Carrier;LTE;-92.2
403;20241030230710;READY;Simulated Carrier;LTE;-91.9
404;20241030230720;READY;Simulated Carrier;LTE;-94.1
405;20241030230730;READY;Simulated Carrier;LTE;-89.6
406;20241030230740;READY;Simulated Carrier;LTE;-96.4
407;20241030230750;READY;Simulated Carrier;LTE;-92.7
408;20241030230800;READY;Simulated Carrier;LTE;-91.7
409;20241030230810;READY;Simulated Carrier;LTE;-90.2
410;20241030230820;READY;Simulated Carrier;LTE;-89.3
411;20241030230830;READY;Simulated Carrier;LTE;-96.9
412;20241030230840;READY;Simulated Carrier;LTE;-98.4
413;20241030230850;READY;Simulated Carrier;LTE;-87.1
414;20241030230900;READY;Simulated Carrier;LTE;-91.0
415;20241030230910;READY;Simulated Carrier;LTE;-95.4
416;20241030230920;READY;Simulated Carrier;LTE;-86.0
417;20241030230930;READY;Simulated Carrier;LTE;-91.9
418;20241030230940;READY;Simulated Carrier;LTE;-87.7
419;20241030230950;READY;Simulated Carrier;LTE;-92.1
420;20241030231000;READY;Simulated Carrier;LTE;-84.1
421;20241030231010;READY;Simulated Carrier;LTE;-85.4
422;20241030231020;READY;Simulated Carrier;LTE;-93.4
423;20241030231030;READY;Simulated Carrier;LTE;-88.6
424;20241030231040;READY;Simulated Carrier;LTE;-89.8
425;20241030231050;READY;Simulated Carrier;LTE;-86.8
426;20241030231100;READY;Simulated Carrier;LTE;-96.1
427;20241030231110;READY;Simulated Carrier;LTE;-89.4
428;20241030231120;READY;Simulated Carrier;LTE;-87.8
429;20241030231130;READY;Simulated Carrier;LTE;-99.0
430;20241030231140;READY;Simulated Carrier;LTE;-96.9
431;20241030231150;READY;Simulated Carrier;LTE;-100.2
432;20241030231200;READY;Simulated Carrier;LTE;-93.0
433;20241030231210;READY;Simulated Carrier;LTE;-89.1
434;20241030231220;READY;Simulated Carrier;LTE;-86.0
435;20241030231230;READY;Simulated Carrier;LTE;-91.7
436;20241030231240;READY;Simulated Carrier;LTE;-85.5
437;20241030231250;READY;Simulated Carrier;LTE;-97.6
438;20241030231300;READY;Simulated Carrier;LTE;-98.8
439;20241030231310;READY;Simulated Carrier;LTE;-92.0
440;20241030231320;READY;Simulated Carrier;LTE;-90.2
441;20241030231330;READY;Simulated Carrier;LTE;-91.9
442;20241030231340;READY;Simulated Carrier;LTE;-100.2
443;20241030231350;READY;Simulated Carrier;LTE;-92.3
444;20241030231400;READY;Simulated Carrier;LTE;-97.0
445;20241030231410;READY;Simulated Carrier;LTE;-89.1
446;20241030231420;READY;Simulated Carrier;LTE;-90.3
447;20241030231430;READY;Simulated Carrier;LTE;-95.6
448;20241030231440;READY;Simulated Carrier;LTE;-94.0
449;20241030231450;READY;Simulated Carrier;LTE;-96.1
450;20241030231500;READY;Simulated Carrier;LTE;-92.0
451;20241030231510;READY;Simulated Carrier;LTE;-88.1
452;20241030231520;READY;Simulated Carrier;LTE;-95.7
453;20241030231530;READY;Simulated Carrier;LTE;-89.7
454;20241030231540;READY;Simulated Carrier;LTE;-93.7
455;20241030231550;READY;Simulated Carrier;LTE;-94.9
456;20241030231600;READY;Simulated Carrier;LTE;-92.3
457;20241030231610;READY;Simulated Carrier;LTE;-96.0
458;20241030231620;READY;Simulated Carrier;LTE;-94.0
459;20241030231630;READY;Simulated Carrier;LTE;-96.4
460;20241030231640;READY;Simulated Carrier;LTE;-83.7
461;20241030231650;READY;Simulated Carrier;LTE;-91.4
462;20241030231700;READY;Simulated Carrier;LTE;-94.5
463;20241030231710;READY;Simulated Carrier;LTE;-90.7
464;20241030231720;READY;Simulated Carrier;LTE;-92.1
465;20241030231730;READY;Simulated Carrier;LTE;-92.4
466;20241030231740;READY;Simulated Carrier;LTE;-89.1
467;20241030231750;READY;Simulated Carrier;LTE;-88.3
468;20241030231800;READY;Simulated Carrier;LTE;-93.4
469;20241030231810;READY;Simulated Carrier;LTE;-93.6
470;20241030231820;READY;Simulated Carrier;LTE;-92.5
471;20241030231830;READY;Simulated Carrier;LTE;-100.6
472;20241030231840;READY;Simulated Carrier;LTE;-97.4
473;20241030231850;READY;Simulated Carrier;LTE;-85.9
474;20241030231900;READY;Simulated Carrier;LTE;-84.8
475;20241030231910;READY;Simulated Carrier;LTE;-92.4
476;20241030231920;READY;Simulated Carrier;LTE;-89.1
477;20241030231930;READY;Simulated Carrier;LTE;-90.4
478;20241030231940;READY;Simulated Carrier;LTE;-79.3
479;20241030231950;READY;Simulated Carrier;LTE;-87.2
